id,type,genre,notable,release_date,notoriety_date,written_date,single,release_year,notoriety_year
636,Album,Synthwave,True,1999,,,,1999,
642,Album,Darkwave,True,2010,,2010,,2010,
653,Album,Psychedelic Rock,True,2023,2023,,,2023,2023.0
662,Album,Indie Folk,True,2028,,2021,,2028,
673,Song,Doom Metal,True,2023,,,True,2023,
683,Album,Jazz Surf Rock,True,2025,2025,,,2025,2025.0
690,Album,Alternative Rock,True,1994,,,,1994,
695,Song,Avant-Garde Folk,True,2012,2012,,True,2012,2012.0
699,Song,Dream Pop,True,2023,,,True,2023,
705,Song,Alternative Rock,True,2020,,2020,False,2020,
713,Album,Dream Pop,True,2027,,,,2027,
720,Song,Oceanus Folk,True,2023,2023,,True,2023,2023.0
731,Song,Lo-Fi Electronica,True,1997,1997,,True,1997,1997.0
736,Album,Doom Metal,True,2026,,,,2026,
746,Song,Oceanus Folk,True,2027,,,True,2027,
750,Song,Alternative Rock,True,2028,,,False,2028,
757,Song,Oceanus Folk,True,2023,,,True,2023,
764,Song,Dream Pop,True,2021,,2021,True,2021,
766,Song,Psychedelic Rock,True,2017,,2017,True,2017,
773,Song,Indie Folk,True,2022,,2022,True,2022,
781,Song,Alternative Rock,True,2025,,,True,2025,
787,Song,Psychedelic Rock,True,2028,,2028,True,2028,
799,Song,Space Rock,True,2024,,,True,2024,
802,Album,Indie Rock,True,2000,2000,,,2000,2000.0
806,Song,Southern Gothic Rock,True,2002,2002,2002,True,2002,2002.0
810,Album,Space Rock,True,2028,2028,2028,,2028,2028.0
821,Song,Indie Folk,True,2007,,,True,2007,
827,Song,Lo-Fi Electronica,True,2006,,,True,2006,
830,Album,Psychedelic Rock,True,2024,,,,2024,
833,Album,Indie Rock,True,2010,,,,2010,
839,Song,Indie Rock,True,2024,,,True,2024,
842,Song,Doom Metal,True,2023,,,True,2023,
846,Song,Doom Metal,True,2017,,2017,True,2017,
852,Song,Space Rock,True,2028,,2024,False,2028,
866,Album,Doom Metal,True,2024,,2024,,2024,
871,Song,Synthwave,True,2024,,2024,True,2024,
876,Song,Indie Rock,True,2010,,,False,2010,
880,Album,Emo/Pop Punk,False,2000,,2000,,2000,
886,Song,Oceanus Folk,True,2023,,2023,True,2023,
892,Album,Desert Rock,True,2020,,,,2020,
901,Song,Space Rock,False,2029,,2029,False,2029,
906,Song,Dream Pop,True,2029,,2025,True,2029,
912,Song,Indie Folk,False,2017,,,True,2017,
917,Album,Psychedelic Rock,True,2017,,,,2017,
922,Album,Jazz Surf Rock,True,2026,,2026,,2026,
925,Song,Indie Folk,False,2027,,2021,True,2027,
933,Song,Dream Pop,True,1998,,,True,1998,
940,Song,Lo-Fi Electronica,True,2028,,,True,2028,
945,Song,Doom Metal,True,2017,,,True,2017,
951,Album,Dream Pop,True,2025,,,,2025,
962,Song,Indie Folk,True,2013,,,True,2013,
966,Song,Lo-Fi Electronica,True,2003,,2003,False,2003,
970,Song,Alternative Rock,True,2022,2022,,True,2022,2022.0
974,Song,Psychedelic Rock,True,2023,,,True,2023,
980,Song,Indie Folk,True,2020,,,True,2020,
985,Song,Dream Pop,True,2025,,,True,2025,
988,Album,Space Rock,True,2020,,,,2020,
995,Song,Psychedelic Rock,True,2024,2024,,True,2024,2024.0
999,Song,Americana,True,2027,,,True,2027,
1007,Song,Indie Rock,True,2027,,,True,2027,
1012,Album,Synthpop,True,2016,,,,2016,
1018,Song,Alternative Rock,True,2008,,,True,2008,
1024,Song,Dream Pop,False,2029,,,True,2029,
1033,Song,Dream Pop,False,2028,,,True,2028,
1051,Song,Dream Pop,True,2010,,,True,2010,
1057,Album,Indie Folk,True,2019,,,,2019,
1062,Album,Indie Folk,True,2023,,,,2023,
1069,Song,Synthwave,True,2026,,,True,2026,
1076,Song,Dream Pop,True,2025,,,True,2025,
1080,Album,Post-Apocalyptic Folk,True,2029,,2026,,2029,
1088,Song,Synthpop,True,1991,,1987,True,1991,
1091,Song,Space Rock,True,2026,2026,,False,2026,2026.0
1096,Album,Emo/Pop Punk,True,2019,,2019,,2019,
1101,Album,Avant-Garde Folk,True,1995,,,,1995,
1106,Song,Doom Metal,True,2004,,,True,2004,
1113,Album,Americana,True,1991,,,,1991,
1117,Song,Alternative Rock,True,1989,,,True,1989,
1120,Song,Dream Pop,True,2018,,,False,2018,
1121,Song,Southern Gothic Rock,True,1997,1997,1997,True,1997,1997.0
1125,Song,Symphonic Metal,True,2013,,2013,True,2013,
1130,Song,Alternative Rock,True,2017,2017,,True,2017,2017.0
1135,Song,Dream Pop,True,2000,,,True,2000,
1136,Song,Dream Pop,True,2027,,,False,2027,
1140,Song,Lo-Fi Electronica,True,2018,,,True,2018,
1145,Song,Dream Pop,False,2020,,,True,2020,
1156,Song,Synthwave,True,2022,,,True,2022,
1162,Song,Indie Folk,True,2013,,,True,2013,
1170,Song,Emo/Pop Punk,True,2004,,,True,2004,
1172,Song,Doom Metal,True,2017,,,True,2017,
1177,Song,Desert Rock,True,2026,,,True,2026,
1185,Song,Dream Pop,True,2026,,,True,2026,
1190,Song,Alternative Rock,True,2032,,,False,2032,
1195,Album,Dream Pop,True,2026,,2026,,2026,
1205,Album,Southern Gothic Rock,False,2022,,2022,,2022,
1208,Song,Space Rock,True,2028,,,True,2028,
1213,Album,Dream Pop,True,1991,,,,1991,
1217,Song,Indie Folk,True,2017,,,True,2017,
1221,Album,Dream Pop,True,2029,,2029,,2029,
1229,Song,Dream Pop,True,2013,,,True,2013,
1236,Song,Doom Metal,True,2013,,2013,True,2013,
1242,Song,Dream Pop,True,2020,,,True,2020,
1244,Album,Indie Rock,True,2009,2009,,,2009,2009.0
1249,Song,Indie Pop,True,2010,,,True,2010,
1253,Song,Oceanus Folk,True,2022,,2022,True,2022,
1256,Song,Dream Pop,True,2029,,,True,2029,
1259,Song,Dream Pop,True,2018,2018,,True,2018,2018.0
1265,Album,Lo-Fi Electronica,True,2001,,2001,,2001,
1269,Song,Indie Folk,True,2024,,2018,True,2024,
1279,Song,Synthwave,True,2023,,,True,2023,
1286,Song,Dream Pop,True,2027,,2027,True,2027,
1293,Album,Southern Gothic Rock,True,2009,,,,2009,
1298,Song,Dream Pop,True,2026,2026,,True,2026,2026.0
1307,Album,Psychedelic Rock,True,2020,,,,2020,
1310,Album,Jazz Surf Rock,True,2029,,,,2029,
1313,Song,Synthwave,True,2029,,,True,2029,
1320,Song,Synthwave,True,2000,,2000,True,2000,
1326,Song,Jazz Surf Rock,True,1996,,,False,1996,
1333,Song,Jazz Surf Rock,True,2010,,,True,2010,
1340,Song,Dream Pop,False,2017,,,True,2017,
1343,Album,Doom Metal,True,2010,,,,2010,
1350,Song,Dream Pop,True,2007,,,True,2007,
1358,Song,Dream Pop,True,2027,,2027,True,2027,
1364,Song,Speed Metal,True,2003,,,True,2003,
1370,Album,Doom Metal,True,2013,,,,2013,
1375,Song,Synthwave,True,1990,,,True,1990,
1378,Album,Psychedelic Rock,True,2028,,2028,,2028,
1384,Song,Alternative Rock,True,2028,,2028,True,2028,
1388,Album,Indie Folk,True,1989,,,,1989,
1395,Song,Dream Pop,True,2023,,,True,2023,
1402,Album,Indie Folk,True,2029,,,,2029,
1407,Album,Desert Rock,True,2023,,2023,,2023,
1411,Song,Southern Gothic Rock,True,2013,2013,,False,2013,2013.0
1412,Song,Indie Pop,True,1984,,,True,1984,
1416,Album,Americana,True,2017,,2013,,2017,
1422,Song,Indie Rock,True,1984,,,True,1984,
1425,Song,Doom Metal,True,2023,,,True,2023,
1431,Song,Darkwave,True,2017,,,False,2017,
1435,Song,Oceanus Folk,True,2023,,,True,2023,
1440,Album,Blues Rock,True,2004,2004,2004,,2004,2004.0
1447,Song,Doom Metal,True,2020,,,False,2020,
1455,Song,Synthwave,True,1994,,,True,1994,
1461,Album,Dream Pop,True,1991,1991,1991,,1991,1991.0
1466,Song,Lo-Fi Electronica,True,2015,,2008,False,2015,
1470,Song,Doom Metal,True,2004,,,True,2004,
1476,Song,Americana,True,2013,,,True,2013,
1483,Song,Psychedelic Rock,True,2027,,,True,2027,
1489,Song,Oceanus Folk,True,2023,,2023,True,2023,
1495,Song,Doom Metal,True,2004,2004,1997,True,2004,2004.0
1502,Song,Psychedelic Rock,True,2018,,,False,2018,
1508,Song,Doom Metal,True,2018,,2018,True,2018,
1515,Song,Doom Metal,True,2029,,,True,2029,
1520,Song,Lo-Fi Electronica,True,2023,,2023,False,2023,
1524,Song,Psychedelic Rock,True,2009,,2009,True,2009,
1529,Song,Southern Gothic Rock,True,2010,,2010,True,2010,
1533,Song,Alternative Rock,True,1999,,1999,True,1999,
1539,Song,Indie Pop,True,2019,,,True,2019,
1544,Song,Southern Gothic Rock,True,2007,,,True,2007,
1545,Song,Dream Pop,True,2013,,2007,True,2013,
1550,Song,Americana,True,2023,,,False,2023,
1557,Song,Doom Metal,False,2004,,2004,True,2004,
1571,Song,Indie Rock,True,2026,,,False,2026,
1585,Song,Dream Pop,True,2007,,2007,True,2007,
1588,Album,Americana,True,2029,,,,2029,
1596,Song,Indie Pop,True,2005,,,True,2005,
1600,Song,Space Rock,True,2025,,,True,2025,
1605,Song,Synthwave,True,2000,,,True,2000,
1608,Album,Indie Folk,True,1999,,1996,,1999,
1611,Song,Indie Rock,True,2015,,2015,False,2015,
1617,Song,Americana,True,2017,,,True,2017,
1620,Album,Indie Folk,True,2026,,2026,,2026,
1626,Song,Indie Folk,True,2020,,,True,2020,
1629,Song,Desert Rock,True,2023,,,True,2023,
1635,Song,Synthpop,True,2026,,,True,2026,
1642,Song,Desert Rock,True,2013,,,True,2013,
1652,Album,Synthwave,True,2027,2027,2027,,2027,2027.0
1661,Song,Doom Metal,True,2013,,,True,2013,
1665,Song,Oceanus Folk,True,2026,,,True,2026,
1671,Album,Darkwave,True,2026,,,,2026,
1680,Song,Space Rock,True,2027,,,True,2027,
1684,Song,Dream Pop,True,2020,,,False,2020,
1689,Album,Synthwave,True,2010,,2010,,2010,
1693,Song,Psychedelic Rock,True,2025,,2025,False,2025,
1700,Song,Southern Gothic Rock,True,2016,,,True,2016,
1702,Song,Dream Pop,True,2010,,,True,2010,
1709,Song,Synthwave,True,2026,,,True,2026,
1715,Song,Dream Pop,True,2029,,2023,True,2029,
1723,Song,Dream Pop,True,2020,2020,,True,2020,2020.0
1729,Album,Dream Pop,True,2013,,,,2013,
1738,Song,Doom Metal,True,2017,2017,,True,2017,2017.0
1742,Song,Indie Folk,True,2017,,,True,2017,
1748,Song,Dream Pop,True,2023,,,False,2023,
1757,Song,Avant-Garde Folk,True,2010,2010,,True,2010,2010.0
1759,Song,Space Rock,True,2024,,2024,True,2024,
1763,Song,Dream Pop,True,2022,2022,2022,True,2022,2022.0
1772,Song,Southern Gothic Rock,True,2010,,,False,2010,
1773,Album,Darkwave,True,2030,,,,2030,
1779,Song,Indie Folk,True,2017,2017,,True,2017,2017.0
1783,Song,Doom Metal,True,2024,,,False,2024,
1787,Song,Indie Folk,True,2026,,,True,2026,
1791,Song,Lo-Fi Electronica,True,2010,,,True,2010,
1797,Song,Americana,True,2028,,,True,2028,
1804,Album,Indie Folk,True,2013,,,,2013,
1807,Song,Emo/Pop Punk,True,2009,,2003,True,2009,
1810,Song,Lo-Fi Electronica,True,2028,,,True,2028,
1813,Album,Indie Rock,True,2023,,2023,,2023,
1814,Album,Southern Gothic Rock,True,2006,,,,2006,
1817,Album,Indie Rock,True,1997,,,,1997,
1823,Album,Oceanus Folk,True,2029,,,,2029,
1830,Song,Post-Apocalyptic Folk,True,2029,,2029,True,2029,
1837,Song,Alternative Rock,True,2013,,2013,True,2013,
1841,Song,Indie Folk,True,2010,,,True,2010,
1845,Song,Synthpop,True,2010,,2010,True,2010,
1849,Song,Indie Folk,True,2027,,,True,2027,
1853,Song,Avant-Garde Folk,True,2011,,,True,2011,
1857,Song,Indie Rock,True,2006,,2006,False,2006,
1859,Album,Oceanus Folk,True,2017,2017,,,2017,2017.0
1863,Song,Oceanus Folk,False,2013,,2013,False,2013,
1869,Song,Indie Rock,True,2013,2013,2013,True,2013,2013.0
1874,Song,Dream Pop,True,2023,,,False,2023,
1880,Album,Alternative Rock,True,2023,,,,2023,
1884,Album,Doom Metal,False,2010,,2010,,2010,
1888,Song,Indie Folk,True,2017,,,True,2017,
1895,Song,Desert Rock,True,2025,,2025,True,2025,
1898,Song,Dream Pop,True,2028,2028,,True,2028,2028.0
1902,Song,Americana,True,2017,,,True,2017,
1907,Song,Synthwave,True,2021,2021,2021,False,2021,2021.0
1913,Album,Indie Pop,True,1993,1993,,,1993,1993.0
1915,Song,Synthwave,True,2023,2023,2023,True,2023,2023.0
1920,Album,Doom Metal,True,2020,2020,,,2020,2020.0
1927,Album,Dream Pop,True,2011,,,,2011,
1933,Song,Avant-Garde Folk,True,2025,,,True,2025,
1935,Song,Psychedelic Rock,True,1986,,,True,1986,
1939,Song,Space Rock,True,2026,,,True,2026,
1943,Album,Lo-Fi Electronica,True,2020,,2020,,2020,
1949,Song,Symphonic Metal,True,2010,,,True,2010,
1955,Song,Emo/Pop Punk,True,1985,,,False,1985,
1958,Song,Jazz Surf Rock,True,2026,2026,,False,2026,2026.0
1966,Song,Synthwave,True,2023,,,True,2023,
1970,Song,Darkwave,True,2027,2027,,False,2027,2027.0
1977,Album,Indie Folk,True,2000,,,,2000,
1984,Song,Desert Rock,True,2029,2029,,True,2029,2029.0
1991,Album,Americana,True,2024,,,,2024,
1996,Song,Dream Pop,True,2026,,2026,True,2026,
2002,Song,Doom Metal,True,2004,,2000,True,2004,
2009,Album,Space Rock,True,2028,,,,2028,
2013,Song,Synthwave,True,2017,,,True,2017,
2019,Song,Dream Pop,True,2029,2029,,True,2029,2029.0
2026,Song,Indie Pop,True,2023,,,False,2023,
2030,Album,Dream Pop,True,2028,,2021,,2028,
2034,Album,Jazz Surf Rock,True,2010,,2010,,2010,
2042,Album,Blues Rock,True,1998,,,,1998,
2048,Song,Jazz Surf Rock,True,1995,,,True,1995,
2053,Song,Emo/Pop Punk,True,2019,,,True,2019,
2057,Song,Indie Folk,True,2023,,,True,2023,
2061,Album,Dream Pop,True,2028,,,,2028,
2068,Song,Southern Gothic Rock,True,1996,,1996,True,1996,
2073,Song,Doom Metal,True,1994,,,True,1994,
2078,Song,Indie Pop,True,2026,2029,,False,2026,2029.0
2082,Song,Synthwave,True,1997,,,True,1997,
2087,Album,Dream Pop,True,2017,,2013,,2017,
2093,Song,Darkwave,True,2020,,2020,False,2020,
2099,Song,Doom Metal,True,2023,,2017,True,2023,
2102,Album,Americana,True,2025,,,,2025,
2107,Song,Dream Pop,True,2007,,,True,2007,
2112,Song,Blues Rock,True,2013,,2013,False,2013,
2120,Song,Indie Folk,True,2017,,2017,True,2017,
2124,Song,Synthwave,True,2024,,,True,2024,
2130,Song,Dream Pop,True,2029,,,True,2029,
2143,Album,Indie Folk,True,2029,,,,2029,
2148,Album,Southern Gothic Rock,True,2019,,,,2019,
2153,Album,Oceanus Folk,True,2017,,,,2017,
2161,Song,Desert Rock,True,2017,,,False,2017,
2167,Song,Lo-Fi Electronica,True,2007,,2007,False,2007,
2169,Song,Oceanus Folk,True,2026,,2026,True,2026,
2174,Song,Indie Pop,False,1990,,,True,1990,
2175,Song,Synthwave,True,2010,2010,,False,2010,2010.0
2182,Song,Dream Pop,False,1991,,,True,1991,
2186,Album,Doom Metal,True,2010,,2004,,2010,
2197,Album,Doom Metal,True,2017,,,,2017,
2202,Album,Speed Metal,True,1999,,,,1999,
2206,Album,Southern Gothic Rock,True,2011,,,,2011,
2208,Song,Emo/Pop Punk,True,2019,,,True,2019,
2212,Song,Doom Metal,True,2016,,2016,False,2016,
2215,Song,Americana,True,2023,,2023,False,2023,
2221,Song,Southern Gothic Rock,True,2009,,,False,2009,
2223,Song,Alternative Rock,True,2026,,2026,True,2026,
2227,Album,Dream Pop,True,2022,,2022,,2022,
2234,Song,Lo-Fi Electronica,True,2025,,2018,True,2025,
2238,Song,Synthwave,True,2009,,,True,2009,
2243,Song,Synthpop,False,2013,,,True,2013,
2250,Album,Americana,True,2023,,,,2023,
2256,Song,Jazz Surf Rock,True,2010,,,True,2010,
2260,Song,Symphonic Metal,True,2029,,,True,2029,
2267,Song,Dream Pop,False,2030,,,True,2030,
2272,Song,Space Rock,True,2022,,,True,2022,
2277,Song,Lo-Fi Electronica,True,2004,,,False,2004,
2279,Song,Dream Pop,True,2005,,2005,True,2005,
2284,Song,Synthwave,True,2023,,,False,2023,
2292,Song,Indie Folk,True,2020,,,True,2020,
2299,Song,Blues Rock,True,1985,,,False,1985,
2303,Song,Alternative Rock,True,2025,2025,,False,2025,2025.0
2307,Song,Synthwave,True,2026,,2026,True,2026,
2316,Song,Indie Folk,True,2010,,2010,True,2010,
2323,Album,Blues Rock,True,2027,,2027,,2027,
2327,Song,Speed Metal,True,2025,2025,,True,2025,2025.0
2331,Song,Blues Rock,True,2011,2011,,True,2011,2011.0
2333,Song,Indie Pop,True,2000,,,True,2000,
2335,Album,Darkwave,True,2020,,,,2020,
2342,Album,Doom Metal,True,2007,,2007,,2007,
2347,Song,Post-Apocalyptic Folk,True,2015,2015,,False,2015,2015.0
2350,Song,Blues Rock,True,2007,,,False,2007,
2357,Song,Alternative Rock,True,2026,,,True,2026,
2360,Song,Indie Rock,True,2017,,2010,False,2017,
2364,Song,Doom Metal,True,2020,,,True,2020,
2369,Song,Synthwave,True,2023,,,True,2023,
2373,Album,Dream Pop,True,2030,,,,2030,
2379,Song,Synthpop,True,2027,,,True,2027,
2385,Song,Dream Pop,True,2023,,,True,2023,
2391,Album,Synthwave,True,2023,2023,,,2023,2023.0
2398,Song,Indie Folk,True,2023,,,True,2023,
2402,Song,Post-Apocalyptic Folk,True,2029,,2026,False,2029,
2403,Song,Indie Folk,True,2007,2007,2007,False,2007,2007.0
2406,Song,Symphonic Metal,True,2029,2032,,False,2029,2032.0
2413,Song,Dream Pop,True,2026,,,True,2026,
2415,Album,Dream Pop,True,2020,,,,2020,
2418,Song,Dream Pop,True,2028,2028,,True,2028,2028.0
2424,Song,Darkwave,True,2023,,2023,True,2023,
2428,Song,Dream Pop,True,1993,,1993,True,1993,
2433,Song,Dream Pop,True,2020,2020,,True,2020,2020.0
2436,Song,Indie Folk,True,2020,,2017,True,2020,
2440,Album,Dream Pop,True,2019,,,,2019,
2445,Song,Doom Metal,True,2007,,,True,2007,
2446,Song,Indie Folk,True,2024,,2024,True,2024,
2454,Song,Synthwave,True,2030,2030,2027,False,2030,2030.0
2461,Song,Doom Metal,True,2017,,,True,2017,
2467,Album,Lo-Fi Electronica,True,1997,,,,1997,
2470,Song,Dream Pop,True,2012,,2012,True,2012,
2475,Song,Alternative Rock,True,2026,,,True,2026,
2479,Song,Indie Rock,True,2009,,,True,2009,
2480,Album,Synthwave,True,2026,,,,2026,
2486,Song,Doom Metal,True,2023,,2023,True,2023,
2489,Song,Indie Pop,True,2007,,2007,False,2007,
2493,Song,Southern Gothic Rock,True,2012,,2012,True,2012,
2495,Song,Dream Pop,True,2021,,,True,2021,
2500,Song,Dream Pop,True,2008,,,True,2008,
2505,Album,Doom Metal,True,2021,2021,,,2021,2021.0
2510,Song,Dream Pop,True,1981,,,True,1981,
2515,Song,Dream Pop,True,2023,,,True,2023,
2525,Song,Alternative Rock,True,2028,,2028,True,2028,
2530,Album,Synthwave,True,2020,,2020,,2020,
2534,Album,Indie Pop,False,2020,,2020,,2020,
2541,Song,Dream Pop,True,2027,,2027,False,2027,
2549,Song,Alternative Rock,True,2017,,,True,2017,
2555,Song,Dream Pop,True,2029,2029,2029,False,2029,2029.0
2561,Album,Synthwave,True,2017,,,,2017,
2567,Song,Post-Apocalyptic Folk,True,2022,,,False,2022,
2572,Song,Synthwave,True,2004,,2000,True,2004,
2576,Song,Indie Folk,True,2020,2020,,True,2020,2020.0
2577,Song,Synthwave,True,2013,,,True,2013,
2582,Song,Dream Pop,True,2024,,,False,2024,
2586,Song,Americana,True,2024,,2024,True,2024,
2595,Song,Indie Pop,True,1984,,,True,1984,
2596,Song,Dream Pop,True,2026,,,True,2026,
2604,Song,Dream Pop,True,2026,,,True,2026,
2608,Song,Doom Metal,True,2013,,,True,2013,
2614,Song,Dream Pop,True,1990,,,True,1990,
2615,Album,Southern Gothic Rock,True,1984,,1984,,1984,
2616,Song,Americana,True,2020,,,False,2020,
2625,Song,Alternative Rock,True,2004,,,True,2004,
2628,Album,Indie Pop,True,1991,,,,1991,
2633,Album,Space Rock,True,2026,,,,2026,
2639,Song,Speed Metal,True,2003,2003,2003,True,2003,2003.0
2641,Song,Indie Rock,True,2024,,2024,True,2024,
2647,Song,Doom Metal,True,2023,,2023,True,2023,
2649,Song,Doom Metal,True,2013,,2007,True,2013,
2655,Song,Speed Metal,False,2006,,,True,2006,
2658,Song,Dream Pop,True,2007,2007,,True,2007,2007.0
2662,Album,Oceanus Folk,True,2022,,2022,,2022,
2666,Album,Southern Gothic Rock,True,2012,,,,2012,
2670,Album,Darkwave,True,2013,,,,2013,
2676,Song,Indie Folk,True,2020,2020,2013,True,2020,2020.0
2679,Song,Blues Rock,True,2007,,,False,2007,
2683,Album,Indie Rock,True,2023,,2023,,2023,
2684,Song,Emo/Pop Punk,True,2026,,2026,False,2026,
2687,Song,Space Rock,True,2016,,2016,True,2016,
2691,Album,Oceanus Folk,True,1992,,,,1992,
2694,Song,Blues Rock,True,2004,,,True,2004,
2696,Song,Doom Metal,True,2010,,,True,2010,
2698,Song,Lo-Fi Electronica,True,2009,,2009,True,2009,
2701,Song,Americana,True,2029,,,True,2029,
2704,Song,Americana,True,2023,2023,,False,2023,2023.0
2709,Album,Dream Pop,True,2018,,,,2018,
2714,Song,Americana,True,2024,,2018,True,2024,
2720,Song,Alternative Rock,True,2009,,,True,2009,
2724,Song,Dream Pop,True,2023,,,True,2023,
2729,Song,Darkwave,True,2000,,,True,2000,
2734,Song,Post-Apocalyptic Folk,True,2020,,,True,2020,
2738,Album,Dream Pop,True,2023,,,,2023,
2743,Song,Southern Gothic Rock,True,2007,,,True,2007,
2748,Album,Alternative Rock,True,2018,,,,2018,
2751,Song,Indie Pop,True,1984,,,True,1984,
2755,Album,Indie Folk,True,2007,2007,,,2007,2007.0
2761,Song,Dream Pop,True,2007,2007,,True,2007,2007.0
2768,Song,Alternative Rock,True,2015,2015,,True,2015,2015.0
2770,Song,Synthwave,True,2013,,,True,2013,
2775,Song,Dream Pop,True,2027,,,True,2027,
